report_date,location,group,commodity,variety,package,grade,origin,district,item_size,environment,unit_sales,quality,condition,appearance,storage,crop,repack,transportation_mode,organic,low_price,high_price,mostly_low_price,mostly_high_price,comment,properties,market_tone_comments,offerings_comments,commodity_comments
12/31/2025,"Los Angeles, California",Fruits,Bananas,BABY,15 lb cartons,N/A,Ecuador,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,12,13.5,13,,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,N/A,40 lb cartons containerized,N/A,Guatemala,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,19,21,19,20,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,MANZANO,40 lb cartons containerized,N/A,Colombia,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,22,24,,,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,BABY,15 lb cartons,N/A,Mexico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,12,13,,,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,N/A,40 lb cartons,N/A,Guatemala,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,Boat,N,16,,,,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,N/A,40 lb cartons containerized,N/A,Ecuador,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,19,21,19,20,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,N/A,40 lb cartons containerized,N/A,Mexico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,19,21,19,20,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,RED,40 lb cartons containerized,N/A,Ecuador,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,13,14,,,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,MANZANO,40 lb cartons containerized,N/A,Ecuador,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,21,22,,,,,,,
12/31/2025,"Los Angeles, California",Fruits,Bananas,BURRO,40 lb cartons containerized,N/A,Mexico,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Boat,N,19,20,,,,,,,
