report_date,location,group,commodity,variety,package,grade,origin,district,item_size,environment,unit_sales,quality,condition,appearance,storage,crop,repack,transportation_mode,organic,low_price,high_price,mostly_low_price,mostly_high_price,comment,properties,market_tone_comments,offerings_comments,commodity_comments
12/29/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,29,30,,,,,,,
12/29/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/29/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,19,,,one label 30.00,,,,
12/29/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17,,,one label 18.00,,,,
12/29/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/29/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17.5,,,,,,,
12/29/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/29/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons film lined,N/A,Arizona-California,N/A,48s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,30,30,,,,,,,
12/28/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,29,30,,,,,,,
12/28/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17,,,one label 18.00,,,,
12/28/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17.5,,,,,,,
12/28/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/28/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons film lined,N/A,Arizona-California,N/A,48s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,30,30,,,,,,,
12/28/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,19,,,one label 30.00,,,,
12/28/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/28/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/27/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,29,30,,,,,,,
12/27/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17.5,,,,,,,
12/27/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/27/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/27/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons film lined,N/A,Arizona-California,N/A,48s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,30,30,,,,,,,
12/27/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,19,,,one label 30.00,,,,
12/27/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/27/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17,,,one label 18.00,,,,
12/26/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,29,30,,,,,,,
12/26/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/26/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,19,,,one label 30.00,,,,
12/26/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/26/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17.5,,,,,,,
12/26/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/26/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons film lined,N/A,Arizona-California,N/A,48s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,30,30,,,,,,,
12/26/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,,,,
12/22/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,29,30,,,,,,,
12/22/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,19,,,one label 30.00,,,,
12/22/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/22/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/22/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,,,,
12/22/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons film lined,N/A,Arizona-California,N/A,48s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,30,30,,,,,,,
12/22/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/22/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,,,,
12/21/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,29,30,,,,,,,
12/21/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/21/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/21/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons film lined,N/A,Arizona-California,N/A,48s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,30,30,,,,,,,
12/21/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
12/21/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,19,,,one label 30.00,,,,
12/21/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,,,,
12/21/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,,,,
12/20/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,29,30,,,,,,,
12/20/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons film lined,N/A,Arizona-California,N/A,48s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,30,30,,,,,,,
12/20/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17,,,one label 30.00,,,,
12/20/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 12 3-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,13.5,,,,,,,
12/20/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",HEARTS,cartons 7 6-count packages,N/A,Arizona-California,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,14,15,,,,,,,
12/20/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,15,17,,,,,,,
12/20/2023,"Los Angeles, California",Vegetables,"Lettuce, Romaine",N/A,cartons film lined,N/A,Arizona-California,N/A,24s,N/A,N/A,Fair Quality,N/A,N/A,N/A,N/A,N/A,N/A,N,13,14,,,,,,,
