report_date,location,group,commodity,variety,package,grade,origin,district,item_size,environment,unit_sales,quality,condition,appearance,storage,crop,repack,transportation_mode,organic,low_price,high_price,mostly_low_price,mostly_high_price,comment,properties,market_tone_comments,offerings_comments,commodity_comments
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,4x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,19,20,,,few higher fair appearance 16.00-17.00,Light Red-red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,5x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,18,,,few higher fair appearance 14.00-15.00,Light Red-red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,5x6s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,few higher fair appearance 13.00-14.00,Light Red-red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,flats 1 layer,N/A,Mexico,N/A,20s,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,18,,,,Light Red-red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - ON THE VINE,5 kg/11 lb flats,N/A,Mexico,N/A,4-5 count,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,Red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,10 lb cartons,N/A,Mexico,N/A,N/A,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,28,30,,,,,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,4x4s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,20,,,few higher fair appearance 15.00-16.00,Light Red-red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,flats 1 layer,N/A,Mexico,BAJA DISTRICT,N/A,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,26,,,,,,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,4x4s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,19,20,,,few higher fair appearance 16.00-17.00,Light Red-red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,5x6s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,18,,,few higher fair appearance 14.00-15.00,Light Red-red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,5x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,few higher fair appearance 13.00-14.00,Light Red-red,,,
12/31/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,4x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,20,,,few higher fair appearance 15.00-16.00,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,4x4s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,20,21,,,few higher fair appearance 17.00-18.00,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,4x4s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,18,,,,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,4x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,20,21,,,few higher fair appearance 17.00-18.00,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,flats 1 layer,N/A,Mexico,N/A,20s,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,18,,,,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,5x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - ON THE VINE,5 kg/11 lb flats,N/A,Mexico,N/A,4-5 count,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,Red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,10 lb cartons,N/A,Mexico,N/A,N/A,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,28,30,,,,,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,flats 1 layer,N/A,Mexico,BAJA DISTRICT,N/A,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,26,,,,,,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,5x6s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,4x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,18,,,,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,5x6s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,20,,,few higher fair appearance 15.00-16.00,Light Red-red,,,
12/30/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,5x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,20,,,few higher fair appearance 15.00-16.00,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,5x6s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,4x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,20,21,,,few higher fair appearance 17.00-18.00,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,flats 1 layer,N/A,Mexico,N/A,20s,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,18,,,,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,5x6s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,20,,,few higher fair appearance 15.00-16.00,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,5x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,18,20,,,few higher fair appearance 15.00-16.00,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,4x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,18,,,,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - ON THE VINE,5 kg/11 lb flats,N/A,Mexico,N/A,4-5 count,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,Red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,10 lb cartons,N/A,Mexico,N/A,N/A,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,28,30,,,,,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,flats 1 layer,N/A,Mexico,BAJA DISTRICT,N/A,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,26,,,,,,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,BAJA DISTRICT,4x4s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,20,21,,,few higher fair appearance 17.00-18.00,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,4x4s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,18,,,,Light Red-red,,,
12/29/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,5x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,Light Red-red,,,
12/23/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPE - HEIRLOOM VARIETIES,flats 1 layer,N/A,Mexico,BAJA DISTRICT,N/A,Greenhouse,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,26,,,,,,,,
12/23/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,4x5s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,17,18,,,,Light Red-red,,,
12/23/2025,"Los Angeles, California",Vegetables,Tomatoes,VINE RIPES,cartons 2 layer,N/A,Mexico,N/A,5x6s,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,16,18,,,,Light Red-red,,,
